Name	Set	ImageFile	type	Rarity	Color	Cost	Inkwell	Classifications	Strength	Willpower	Lore	Text
Ariel - On Human Legs	TFC	expansions/1/cards/367x512/356a192b7913b04c54574d18c28d46e6395428ab	Princess	Un	Amber	4	True	Storyborn, Hero, Princess	3	4	2	VOICELESS This character can't ⟳ to sing songs.
Ariel - Spectacular Singer	TFC	expansions/1/cards/367x512/da4b9237bacccdf19c0760cab7aec4a8359010b0	Princess	Su	Amber	3	True	Storyborn, Hero, Princess	2	3	1	Singer 5 (This character counts as cost 5 to sing songs.); MUSICAL DEBUT When you play this character, lookat the top 4 cards of your deck. You may reveal a songcard and put it into your hand. Put the rest on thebottom of your deck in any order.
Cinderella - Gentle and Kind	TFC	expansions/1/cards/367x512/77de68daecd823babbb58edb1c8e14d7106e83bb	Princess	Un	Amber	4	True	Storyborn, Hero, Princess	2	5	2	Singer 5 (This character counts as cost 5 to singsongs.); A WONDERFUL DREAM ⟳ — Remove up to 3damage from chosen Princess character.
Goofy - Musketeer	TFC	expansions/1/cards/367x512/1b6453892473a467d07372d45eb05abc2031647a	Musketeer	Un	Amber	5	True	Dreamborn, Hero, Musketeer	3	6	1	Bodyguard (This character may enter play exerted. Anopposing character who challenges one of your charactersmust choose one with Bodyguard if able.); AND TWO FOR TEA! When you play this character, youmay remove up to 2 damage from each of your Musketeercharacters.
Hades - King of Olympus	TFC	expansions/1/cards/367x512/ac3478d69a3c81fa62e60f5c3696165a4e5e6ac4	Deity	Ra	Amber	8	False	Floodborn, Villain, King, Deity	6	7	1	Shift 6 (You may pay 6 ⬡ to play this on top ofone of your characters named Hades.); SINISTER PLOT This character gets +1 ◊ foreach other Villain character you have in play.
Hades - Lord of the Underworld	TFC	expansions/1/cards/367x512/c1dfd96eea8cc2b62785275bca38ac261256e278	Deity	Ra	Amber	4	False	Storyborn, Villain, Deity	3	2	1	WELL OF SOULS When you play this character,return a character card from your discard to yourhand.
HeiHei - Boat Snack	TFC	expansions/1/cards/367x512/902ba3cda1883801594b6e1b452790cc53948fda	Ally	Co	Amber	1	True	Storyborn, Ally	1	2	1	Support (Whenever this character quests, youmay add their ¤ to another chosen character's¤ this turn.)
LeFou - Bumbler	TFC	expansions/1/cards/367x512/fe5dbbcea5ce7e2988b8c69bcfdfde8904aabc1f	Ally	Un	Amber	2	True	Storyborn, Ally	1	2	2	LOYAL If you have a character named Gaston inplay, you pay 1 ⬡ less to play this character.
Lilo - Making a Wish	TFC	expansions/1/cards/367x512/0ade7c2cf97f75d009975f4d720d1fa6c19f4897	Hero	Ra	Amber	1	False	Storyborn, Hero	1	1	2	
Maximus - Palace Horse	TFC	expansions/1/cards/367x512/b1d5781111d84f7b3fe45a0852e59758cd7a87e5	Ally	Su	Amber	5	True	Storyborn, Ally	4	5	1	Bodyguard (This character may enter play exerted.An opposing character who challenges one of yourcharacters must choose one with Bodyguard if able.); Support (Whenever this character quests, you mayadd their ¤ to another chosen character's ¤ thisturn.)
Maximus - Relentless Pursuer	TFC	expansions/1/cards/367x512/17ba0791499db908433b80f37c5fbc89b870084b	Ally	Un	Amber	3	True	Dreamborn, Ally	3	3	1	HORSE KICK When you play this character,chosen character gets -2 ¤ this turn.
Mickey Mouse - True Friend	TFC	expansions/1/cards/367x512/7b52009b64fd0a2a49e6d8a939753077792b0554	Hero	Un	Amber	3	True	Storyborn, Hero	3	3	2	
Minnie Mouse - Beloved Princess	TFC	expansions/1/cards/367x512/bd307a3ec329e10a2cff8fb87480823da114f8f4	Princess	Co	Amber	2	True	Dreamborn, Princess	2	3	1	
Moana - Of Motunui	TFC	expansions/1/cards/367x512/fa35e192121eabf3dabf9f5ea6abdbcbc107ac3b	Princess	Ra	Amber	5	True	Storyborn, Hero, Princess	1	6	3	WE CAN FIX IT Whenever this character quests,you may ready your other Princess characters. Theycan't quest for the rest of this turn.
Mr. Smee - Loyal First Mate	TFC	expansions/1/cards/367x512/f1abd670358e036c31296e66b3b66c382ac00812	Pirate	Co	Amber	3	True	Dreamborn, Ally, Pirate	2	5	1	
